,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Prevalence of anaemia in pregnant women (aged 15-49) (%),Stillbirth rate (per 1000 total births),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)"
321,2.1,45.5,14.8376,15.5,18.4
322,2.3,45.1,14.41392,15.1,19.1
323,2.4,44.6,13.96036,14.7,19.8
324,2.6,44.1,13.51825,14.3,20.6
325,2.8,43.5,13.1041,13.9,21.3
326,3.0,43.0,12.63904,13.6,22.0
327,3.2,42.4,12.19791,13.2,22.7
328,3.5,41.9,11.73805,12.8,23.4
329,3.7,41.3,11.35195,12.5,24.2
330,3.9,40.8,10.96132,12.1,24.9
331,4.2,40.3,10.57608,11.8,25.6
332,4.4,39.9,10.27688,11.4,26.4
333,4.7,39.4,10.11033,11.1,27.1
334,2.9176470588235297,39.0,9.96096,13.988235294117649,21.323529411764707
335,2.9176470588235297,38.6,9.81703,13.988235294117649,21.323529411764707
336,2.9176470588235297,38.2,9.65581,13.988235294117649,21.323529411764707
337,8.2,35.3,15.54396,2.7,45.9
338,8.6,35.6,15.22882,2.6,46.6
339,8.9,36.0,14.90819,2.5,47.3
340,9.2,36.1,14.5625,2.4,47.9
341,9.6,36.2,14.30194,2.3,48.6
342,9.9,36.3,13.93524,2.2,49.2
343,10.3,36.3,13.56199,2.2,49.9
344,10.7,36.2,13.19552,2.1,50.5
345,11.1,36.3,12.77768,2.0,51.2
346,11.5,36.2,12.34585,1.9,51.8
347,11.9,36.1,11.97503,1.9,52.4
348,12.3,35.9,11.64363,1.8,53.1
349,12.7,35.7,11.23778,1.7,53.7
350,13.1,35.5,10.84702,1.7,54.3
351,13.6,35.8,10.48291,1.6,54.9
352,14.0,35.4,10.07493,1.6,55.5
353,14.5,34.5,9.74816,1.5,56.1
354,11.18235294117647,34.2,9.46196,2.041176470588236,51.11176470588235
355,11.18235294117647,33.8,9.16383,2.041176470588236,51.11176470588235
356,11.18235294117647,33.7,8.89921,2.041176470588236,51.11176470588235
357,10.8,31.2,3.97255,0.9,45.4
358,11.1,30.7,3.87186,0.8,45.8
359,11.5,30.3,3.76318,0.8,46.3
360,11.8,29.9,3.6693,0.8,46.8
361,12.2,29.7,3.61028,0.8,47.2
362,12.6,29.4,3.57437,0.7,47.7
363,12.9,29.2,3.56247,0.7,48.2
364,13.3,28.9,3.54564,0.7,48.7
365,13.7,28.6,3.47728,0.7,49.2
366,14.1,28.3,3.35775,0.7,49.7
367,14.5,28.0,3.24692,0.6,50.2
368,14.9,27.8,3.13984,0.6,50.7
369,15.3,27.6,3.04261,0.6,51.2
370,15.8,27.5,2.97014,0.6,51.7
371,16.2,27.4,2.93228,0.6,52.2
372,16.7,27.3,2.90058,0.6,52.8
373,17.1,27.2,2.85793,0.5,53.3
374,13.794117647058824,27.2,2.8245,0.6882352941176471,49.24117647058824
375,13.794117647058824,27.2,2.79211,0.6882352941176471,49.24117647058824
376,13.794117647058824,27.2,2.76195,0.6882352941176471,49.24117647058824
377,3.9,34.7,11.78852,15.6,34.6
378,4.1,34.4,12.46746,15.4,35.3
379,4.4,34.1,13.08806,15.1,35.9
380,4.6,33.9,13.73564,14.9,36.6
381,4.9,33.6,14.54209,14.6,37.2
382,5.1,33.3,15.26526,14.4,37.8
383,5.4,32.9,15.33133,14.2,38.3
384,5.6,32.4,15.26697,13.9,38.9
385,5.9,32.0,15.21773,13.7,39.4
386,6.1,31.7,15.28589,13.5,39.9
387,6.4,31.4,15.52074,13.3,40.4
388,6.6,31.1,15.7229,13.1,40.9
389,6.9,31.0,15.88543,12.9,41.4
