,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)","Mean total cholesterol,  crude","Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in pregnant women (aged 15-49) (%),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Mean BMI (kg/m²) (age-standardized estimate)
353,56.1,4.4,38.1,115.0,34.5,1.5,25.3
354,51.11176470588235,4.4,38.5,116.0,34.2,2.041176470588236,24.46470588235294
355,51.11176470588235,4.4,38.9,116.0,33.8,2.041176470588236,24.46470588235294
356,51.11176470588235,4.4,39.3,116.0,33.7,2.041176470588236,24.46470588235294
357,45.4,5.1,25.4,116.0,31.2,0.9,25.1
358,45.8,5.0,26.3,116.0,30.7,0.8,25.2
359,46.3,5.0,27.2,116.0,30.3,0.8,25.2
360,46.8,5.0,28.1,116.0,29.9,0.8,25.3
361,47.2,5.0,29.0,117.0,29.7,0.8,25.4
362,47.7,5.0,29.9,117.0,29.4,0.7,25.5
363,48.2,5.0,30.8,117.0,29.2,0.7,25.5
364,48.7,4.9,31.6,117.0,28.9,0.7,25.6
365,49.2,4.9,32.5,117.0,28.6,0.7,25.7
366,49.7,4.9,33.4,117.0,28.3,0.7,25.8
367,50.2,4.9,34.2,117.0,28.0,0.6,25.9
368,50.7,4.9,35.1,117.0,27.8,0.6,25.9
369,51.2,4.9,36.0,117.0,27.6,0.6,26.0
370,51.7,4.8,36.9,117.0,27.5,0.6,26.1
371,52.2,4.8,37.8,117.0,27.4,0.6,26.2
372,52.8,4.8,38.6,117.0,27.3,0.6,26.3
373,53.3,4.8,39.5,117.0,27.2,0.5,26.4
374,49.24117647058824,4.8,40.3,117.0,27.2,0.6882352941176471,25.71176470588236
375,49.24117647058824,4.8,41.2,117.0,27.2,0.6882352941176471,25.71176470588236
376,49.24117647058824,4.910526315789474,42.0,117.0,27.2,0.6882352941176471,25.71176470588236
377,34.6,4.0,14.2,115.0,34.7,15.6,21.7
378,35.3,4.0,15.0,115.0,34.4,15.4,21.7
379,35.9,4.0,15.8,116.0,34.1,15.1,21.8
380,36.6,4.0,16.7,116.0,33.9,14.9,21.9
381,37.2,4.0,17.6,116.0,33.6,14.6,21.9
382,37.8,4.0,18.5,116.0,33.3,14.4,22.0
383,38.3,4.0,19.5,116.0,32.9,14.2,22.1
384,38.9,4.0,20.4,116.0,32.4,13.9,22.1
385,39.4,4.0,21.4,116.0,32.0,13.7,22.2
386,39.9,4.0,22.4,116.0,31.7,13.5,22.2
387,40.4,4.0,23.4,117.0,31.4,13.3,22.3
388,40.9,4.0,24.4,117.0,31.1,13.1,22.3
389,41.4,4.0,25.4,117.0,31.0,12.9,22.3
390,41.9,4.0,26.4,117.0,31.0,12.7,22.4
391,42.4,4.0,27.4,117.0,31.0,12.4,22.4
392,42.9,4.0,28.4,116.0,31.2,12.2,22.5
393,43.4,4.0,29.4,116.0,31.3,12.0,22.5
394,39.24705882352941,3.9,30.5,116.0,31.4,13.758823529411766,22.13529411764706
395,39.24705882352941,3.9,31.5,116.0,31.4,13.758823529411766,22.13529411764706
396,39.24705882352941,3.9894736842105263,32.5,116.0,31.4,13.758823529411766,22.13529411764706
397,46.0,4.8,30.6,119.0,26.3,3.8,24.5
398,46.7,4.8,31.8,119.0,25.9,3.6,24.6
