,Mean hemoglobin level of non-pregnant women (aged 15-49 years),per_capita-Maternal Disorders,Stillbirth rate (per 1000 total births),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of women of reproductive age (aged 15-49 years)
430,131.0,7.216447727660885e-06,4.29759,14.5,130.0
431,131.0,7.097651860176258e-06,4.33862,14.6,130.0
432,131.0,6.98249256364542e-06,4.35262,14.8,130.0
433,130.0,4.580642206037286e-06,4.40621,15.1,130.0
434,130.0,4.508637422141467e-06,4.49694,15.5,130.0
435,130.0,6.7629561332122015e-06,4.57461,15.9,130.0
436,130.0,6.556904092163844e-06,4.6087,16.5,130.0
437,128.0,3.7091537437831705e-06,7.61028,22.8,128.0
438,128.0,3.4890861385585887e-06,7.61849,22.7,128.0
439,128.0,2.740870649308341e-06,7.83033,22.9,128.0
440,128.0,2.3720418496707933e-06,7.90427,23.1,128.0
441,128.0,2.2612478124090096e-06,7.78927,23.3,128.0
442,128.0,1.879106602925581e-06,7.57787,23.4,128.0
