,"Mean HDL cholesterol, age-standardized","Medical doctors (per 10,000)","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude","Prevalence of hypertension among adults aged 30-79 years, crude","Mean total cholesterol,  age-standardized",per_capita-Neoplasms
313,1.1,0.481,22.9,28.1,4.1,0.0004437945016402
314,1.1,0.5825714285714286,24.0,27.4,4.1,0.000448236924196
315,1.1,0.791,25.1,26.8,4.1,0.0004586547185134
316,1.1,0.647,26.3,26.2,4.015789473684211,0.0004505257937393
317,1.2,3.268,26.2,36.2,4.3,0.0004538912509572
318,1.2,3.268,26.8,36.4,4.3,0.0004545602129939
319,1.2,3.268,27.4,36.6,4.3,0.0004553130237098
320,1.2,3.268,28.1,36.8,4.3,0.0004624408382448
321,1.2,1.847,28.8,37.1,4.3,0.0004679159920361
322,1.2,3.268,29.4,37.3,4.3,0.0004718299213464
323,1.2,3.268,30.1,37.5,4.3,0.0004742511724542
324,1.2,2.166,30.8,37.8,4.2,0.000488599590408
325,1.1,2.546,31.5,38.0,4.2,0.0004982991876257
326,1.1,3.268,32.2,38.3,4.2,0.0005093027327274
327,1.1,3.268,32.9,38.6,4.2,0.0005215425657322
328,1.1,3.268,33.6,38.9,4.2,0.0005321649231325
329,1.1,2.765,34.3,39.2,4.2,0.0005412221577467
330,1.1,2.858,35.0,39.5,4.2,0.0005514989742119
331,1.1,3.393,35.7,39.8,4.1,0.0005615810414602
332,1.1,3.448,36.4,40.1,4.1,0.0005714909579078
333,1.1,4.059,37.1,40.4,4.1,0.0005812364605899
334,1.1,4.024,37.8,40.8,4.1,0.000590804549195
335,1.1,4.242,38.5,41.2,4.1,0.0006079484312029
336,1.1421052631578947,4.6,39.2,41.5,4.2105263157894735,0.0006120788729484
337,1.0,8.435,39.6,24.4,4.5,0.0009325083363829
338,1.0,12.038,40.3,24.5,4.5,0.0009409081478606
339,1.0,8.435,41.0,24.6,4.5,0.0009528839841507
340,1.0,8.435,41.8,24.8,4.5,0.0009605388835315
341,1.0,8.435,42.5,25.0,4.5,0.0009686414009047
342,1.0,8.435,43.2,25.2,4.5,0.0009791750064808
343,1.0,8.435,43.8,25.3,4.5,0.0009906256520474
344,1.0,3.316,44.5,25.5,4.5,0.0010083879203083
345,1.0,8.435,45.1,25.7,4.5,0.0010227827460508
346,1.0,8.435,45.7,25.9,4.5,0.0010376209458053
347,1.0,4.385,46.3,26.1,4.5,0.0010540423655666
348,1.0,4.671,46.8,26.3,4.5,0.0010738551647482
349,1.0,8.435,47.3,26.4,4.5,0.0010900871457471
350,1.0,8.435,47.8,26.6,4.5,0.0011049556865833
351,1.0,8.435,48.3,26.9,4.5,0.0011101928742604
352,1.0,8.435,48.7,27.1,4.5,0.0011310187445803
353,1.0,15.901,49.1,27.4,4.5,0.0011633006671407
354,1.0,10.299,49.5,27.7,4.5,0.0011806180405259
355,1.0,8.435,49.9,28.1,4.5,0.0012219172267345
356,1.0,8.435,50.2,28.4,4.5,0.0012232348202964
357,1.3,14.547,34.3,45.5,5.0,0.0017551915433617
358,1.3,14.499,35.1,45.8,5.0,0.0017982177383124
359,1.3,14.478,35.9,46.1,4.9,0.0018579176725685
360,1.3,14.776,36.7,46.5,4.9,0.0018768937737984
361,1.3,15.09,37.5,46.9,4.9,0.0018625774952129
362,1.3,15.332,38.3,47.3,4.9,0.0019142334917957
363,1.3,15.754,39.1,47.7,4.9,0.0018913192690959
364,1.3,16.429,39.9,48.1,4.9,0.0019691586350154
365,1.3,16.714,40.7,48.5,4.8,0.0018905041271722
366,1.3,17.38,41.6,48.8,4.8,0.0019011950802594
367,1.3,17.987,42.6,49.2,4.8,0.0019043196747099
368,1.3,18.794,43.5,49.5,4.8,0.001916202435959
369,1.3,19.49,44.5,49.8,4.8,0.0019165816439117
370,1.3,20.355,45.5,50.1,4.7,0.0019498845907189
371,1.3,21.326,46.6,50.4,4.7,0.0019755450550016
372,1.3,21.616,47.7,50.7,4.7,0.0020237199202811
373,1.3,17.1604375,48.7,51.0,4.7,0.0020169158306007
374,1.3,17.1604375,49.7,51.3,4.7,0.002024625167815
375,1.3,17.1604375,50.7,51.6,4.7,0.0020454461657915
376,1.3,17.1604375,51.8,52.0,4.821052631578948,0.0020616046250214
377,1.2,3.037,29.3,35.1,4.1,0.0007983663554962
378,1.2,3.045,29.9,35.3,4.1,0.0008109642364771
379,1.2,3.144,30.5,35.4,4.1,0.000817786513051
380,1.2,3.033,31.2,35.6,4.1,0.0008091871439407
381,1.2,4.05,31.8,35.8,4.1,0.0007843649188641
382,1.2,2.59,32.5,36.0,4.1,0.0007553871603746
383,1.2,3.219,33.2,36.2,4.1,0.0007436914176411
384,1.2,3.78,34.0,36.4,4.1,0.0007311507863921
385,1.2,3.738,34.8,36.5,4.1,0.0007422973205576
386,1.2,3.547,35.7,36.6,4.1,0.0007479119744273
387,1.2,4.122,36.7,36.6,4.1,0.0007613436508128
388,1.3,4.064,37.8,36.7,4.1,0.0007785424407305
389,1.3,4.015,38.8,36.7,4.1,0.0007888397525664
390,1.3,3.5340666666666665,40.0,36.7,4.1,0.0008045774441037
391,1.3,3.5340666666666665,41.1,36.7,4.1,0.0008224386116605
392,1.3,3.5340666666666665,42.3,36.8,4.1,0.0008356549789505
393,1.3,3.843,43.4,36.7,4.1,0.0008455518900891
394,1.3,3.5340666666666665,44.5,36.7,4.1,0.0008655653931299
395,1.3,3.784,45.6,36.7,4.0,0.000898219798142
396,1.2421052631578948,3.5340666666666665,46.7,36.8,4.094736842105263,0.0009076766887114
397,1.2,20.51725,41.9,41.4,4.8,0.0009229375817152
398,1.2,20.51725,42.8,41.9,4.8,0.0009388735699755
399,1.2,20.51725,43.8,42.4,4.8,0.0009549294846744
400,1.2,20.51725,44.7,42.9,4.8,0.0009711463236122
401,1.2,20.51725,45.7,43.4,4.8,0.0009876207333904
402,1.2,20.51725,46.7,43.9,4.8,0.0009873113232425
403,1.2,20.51725,47.7,44.3,4.8,0.0010027784757729
404,1.2,20.51725,48.7,44.7,4.8,0.0010167514843962
405,1.2,20.51725,49.7,45.1,4.8,0.0010324759286054
406,1.2,20.51725,50.8,45.4,4.8,0.0010496516682279
407,1.2,20.51725,51.8,45.7,4.8,0.00106674515103
