,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),Neonatal mortality rate (per 1000 live births),per_capita-Maternal Disorders,"Mean total cholesterol,  age-standardized","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in non-pregnant women (aged 15-49) (%)
291,20.8,10.38361,1.4669467557005551e-05,4.5,43.8,120.0,20.8
292,20.6,10.06521,1.7272698484896465e-05,4.5,44.5,120.0,20.6
293,20.5,9.63093,1.695595408327634e-05,4.5,45.2,120.0,20.5
294,20.5,9.1363,1.387555294078469e-05,4.5,45.8,120.0,20.4
295,20.5,8.62437,1.387555294078469e-05,4.5,46.4,120.0,20.4
296,20.5,8.14559,1.3395596063838053e-05,4.484210526315789,47.1,120.0,20.5
297,62.1,39.03338,0.0001587824363359,3.9,14.4,104.0,62.1
298,61.7,38.29518,0.0001541159636356,3.9,14.7,104.0,61.8
299,61.4,37.55035,0.0001506124931647,3.9,15.1,104.0,61.4
300,61.1,36.83861,0.0001476614781777,4.0,15.4,104.0,61.1
301,60.7,36.24618,0.0001453466937147,4.0,15.8,104.0,60.6
302,60.1,35.77431,0.0001434869831206,4.0,16.3,104.0,60.0
303,59.6,35.33472,0.0001399453266976,4.0,16.7,104.0,59.4
304,59.0,34.97559,0.0001392821929709,4.0,17.2,104.0,58.8
305,58.2,34.63397,0.0001377080020772,4.0,17.8,104.0,58.0
306,57.4,34.305,0.0001414949694216,4.0,18.5,105.0,57.1
307,56.7,33.94038,0.0001441031977659,4.0,19.2,105.0,56.3
308,56.0,33.54752,0.000144771621159,4.0,20.0,105.0,55.6
309,55.5,33.13499,0.0001422054682534,4.0,20.8,105.0,55.1
310,55.2,32.70707,0.0001382970150118,4.1,21.7,105.0,54.8
311,55.0,32.29029,0.0001356224993986,4.1,22.7,105.0,54.6
312,55.0,31.86861,0.0001292990374734,4.1,23.7,105.0,54.6
313,55.0,31.4978,0.0001236331231756,4.1,24.8,105.0,54.6
314,55.0,31.08138,0.0001199405189239,4.1,25.9,105.0,54.6
315,55.1,30.64088,0.0001185816761868,4.1,27.1,105.0,54.7
316,55.2,30.20019,0.0001133398223243,4.015789473684211,28.3,105.0,54.8
317,45.2,31.83674,8.912773655161487e-05,4.3,26.5,110.0,45.0
318,44.7,30.89526,8.441832527030099e-05,4.3,27.2,110.0,44.5
319,44.3,29.9657,7.987947784382923e-05,4.3,27.9,111.0,44.1
320,43.9,28.98215,7.707347304080017e-05,4.3,28.6,111.0,43.7
321,43.5,28.03464,7.592014440321343e-05,4.3,29.3,111.0,43.4
322,43.2,27.12881,7.024005301597044e-05,4.3,30.0,111.0,43.0
323,42.8,26.19728,6.323348966057166e-05,4.3,30.8,111.0,42.7
324,42.3,25.29811,5.940420552072984e-05,4.2,31.5,111.0,42.2
325,41.8,24.37809,5.715784799236723e-05,4.2,32.3,112.0,41.7
326,41.3,23.4431,5.353466224692212e-05,4.2,33.0,112.0,41.2
327,40.7,22.51597,5.143981470235637e-05,4.2,33.8,112.0,40.7
328,40.3,21.60822,4.9405231590552025e-05,4.2,34.6,112.0,40.2
329,39.8,20.8403,4.7426683926259874e-05,4.2,35.3,112.0,39.7
330,39.4,20.10825,4.549866537248241e-05,4.2,36.1,113.0,39.4
331,39.1,19.25177,4.361794496778406e-05,4.1,36.9,113.0,39.0
332,38.8,18.43594,4.178353701684416e-05,4.1,37.6,113.0,38.8
333,38.7,17.63242,3.999333444425929e-05,4.1,38.4,113.0,38.6
334,38.6,16.97749,3.69252843246893e-05,4.1,39.2,113.0,38.6
335,38.6,16.32637,3.560652417023611e-05,4.1,39.9,113.0,38.6
336,38.6,15.74539,3.357394661742488e-05,4.2105263157894735,40.7,114.0,38.7
337,33.1,29.57942,8.67591503753279e-05,4.5,40.5,115.0,32.9
338,33.2,28.68289,8.055024662238714e-05,4.5,41.3,114.0,33.0
339,33.3,27.98706,7.772911123785015e-05,4.5,42.0,114.0,33.1
