,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),Stillbirth rate (per 1000 total births),Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%)
1402,2.95,16.42998,30.18,52.6
1403,2.95,16.06605,22.96,57.28
1404,3.05,15.60538,23.49,57.53
1405,3.1,15.19787,22.04,59.12
1406,2.78,14.83827,21.75,56.96
1407,2.97,14.48239,19.48,59.99
1408,3.06,14.14403,21.41,59.26
1409,3.56,13.80292,18.97,63.27
1410,3.63,13.47793,17.93,63.6
1411,4.07,13.17943,16.75,66.12
1412,3.89,12.94662,16.78,65.16
1413,3.98,12.68044,16.44,65.25
1414,5.66,2.53899,15.92,80.43
1415,5.86,2.47843,15.79,80.96
1416,5.94,2.44494,15.98,80.75
1417,5.99,2.37304,16.89,79.96
1418,6.05,2.27573,16.59,80.27
1419,6.22,2.23255,15.67,81.17
1420,6.17,2.15979,16.42,80.32
1421,6.32,2.07602,15.52,81.25
1422,6.57,2.03996,15.24,81.17
1423,7.28,2.05357,15.16,81.29
1424,7.43,2.03997,14.57,81.93
1425,8.78,1.99786,13.12,83.74
1426,8.96,1.91109,12.97,83.93
1427,8.99,1.84435,12.7,84.26
1428,9.03,1.80465,12.87,84.12
1429,9.04,1.79001,12.95,84.08
1430,8.96,1.74162,12.85,84.04
1431,8.97,1.67058,12.65,84.21
1432,9.0,1.56416,12.99,83.77
1433,9.01,1.51709,12.91,83.86
