Interpersonal Violence,Drug Use Disorders,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
-0.3336272354963688,-0.1736497826627701,0.5453753938350823,-0.0666639314143544,-0.6471854789537677
-0.3333723892438915,-0.1736497826627701,0.3796071006457855,-0.0232360344050419,-0.6485205267982748
-0.3333723892438915,-0.1736497826627701,0.470697335300762,-0.0043529047286248,-0.6422903035239081
-0.3334998123701301,-0.1733625722240795,0.569953719563657,0.0068713331909238,-0.6689912604140509
-0.3336272354963688,-0.1733625722240795,0.6190893775492446,0.0644780836897837,-0.6609809733470081
-0.3337546586226074,-0.1733625722240795,0.6589163913010648,0.121622659686074,-0.6574208457616557
-0.3337546586226074,-0.1733625722240795,0.6595975721210852,0.1439390856672943,-0.6547507500726415
-0.3338820817488461,-0.1733625722240795,0.5369643907564963,0.1631523399884041,-0.6547507500726415
-0.3340095048750847,-0.1733625722240795,0.5536001623681736,0.2096834086578271,-0.6547507500726415
-0.3341369280013234,-0.1733625722240795,0.6457297527083781,0.2899532160148345,-0.6547507500726415
-0.334264351127562,-0.1733625722240795,0.7318640108580756,0.1844618858033118,-0.6547507500726415
-0.3343917742538006,-0.1733625722240795,0.7021541925636827,0.1421399063537196,-0.6547507500726415
0.1291735590023636,-0.114197221853836,-0.64167780870287,-0.4821588092244699,2.482166668570957
0.1101875131928066,-0.1150588531699075,-0.6416808762986054,-0.4817296471863695,2.5266682633878617
0.0854674267025109,-0.1156332740472885,-0.6415219330355391,-0.4810693978969844,2.4376650737540526
0.0709411903113062,-0.115920484485979,-0.6398312013374194,-0.4800460114984373,2.393163478937148
0.0697943821751584,-0.1156332740472885,-0.6380357009297032,-0.4791381687255326,2.2596586944864345
0.0774397697494767,-0.1133355905377645,-0.6368578806346902,-0.4780322511658123,1.992649125585008
0.0940047761604996,-0.11075069658955,-0.6361300729742804,-0.4771244083929076,1.7256395566835807
0.0942596224129769,-0.109601854834788,-0.6333425226511759,-0.4748135358800594,1.7256395566835807
0.0946418917916928,-0.1098890652734785,-0.6289064288838084,-0.4727997755474346,1.6811379618666762
0.1108246288239998,-0.109027433957407,-0.625086686997084,-0.4703733594089438,1.5921347722328671
0.1178329007671249,-0.108453013080026,-0.6206050316260057,-0.4671381378909563,1.6811379618666762
0.1308300596434659,-0.1110379070282405,-0.6160506592911232,-0.4646126843590578,1.7256395566835807
0.1249685958364886,-0.111899538344312,-0.6150104892858377,-0.463935928837438,1.5476331774159626
0.1516000292203639,-0.1098890652734785,-0.609467370237194,-0.4598753957077189,1.414128392965249
0.1750458844482733,-0.1044320669383589,-0.6017620678856266,-0.4555672690944805,1.3696267981483443
0.1829461182750688,-0.1073041713252639,-0.5945781544414125,-0.4507969679786722,1.1916204188807265
0.1784863088567165,-0.1027088043062159,-0.5861376698576821,-0.4478753648731426,1.058115634430013
0.1745361919433187,-0.0963901746550248,-0.5788983328307937,-0.4438478442078928,0.8356076603454905
0.1695666900200118,-0.0920820180746673,-0.5706339959736114,-0.4382027127836492,0.6130996862609679
0.16599884248533,-0.0883482823716908,-0.5650305641268082,-0.4341421796539302,0.3905917121764454
-0.334264351127562,-0.1739369931014606,-0.0832848509403252,-0.0136294072444871,-0.6587558936061628
-0.3343917742538006,-0.1739369931014606,-0.0866466631100903,-0.0135798885477831,-0.6507456065391201
-0.334264351127562,-0.1739369931014606,-0.0797634891723201,-0.0029993936853851,-0.6565308138653176
-0.3338820817488461,-0.1739369931014606,-0.0630130007317348,0.0501011554134207,-0.649855574642782
-0.3334998123701301,-0.1739369931014606,-0.0219528870337704,0.1041755722140697,-0.6347250324050344
-0.3333723892438915,-0.1739369931014606,0.0453331567207164,0.1516640023531013,-0.6378401440422177
-0.3332449661176529,-0.1739369931014606,0.1160701353174196,0.2060355313339738,-0.6240446496489773
-0.3336272354963688,-0.1739369931014606,0.1973683780046467,0.2394111329123963,-0.6151443306855964
-0.3333723892438915,-0.1739369931014606,0.214336239039561,0.2686601764321614,-0.6569758298134867
-0.3341369280013234,-0.1739369931014606,0.1524423803964158,0.2953177414910894,-0.6578658617098248
-0.3338820817488461,-0.1739369931014606,0.1610870950147036,0.3034057952860582,-0.6560857979171486
-0.3334998123701301,-0.1739369931014606,0.1813559016481772,0.4178765158332199,-0.6578658617098248
-0.3337546586226074,-0.1739369931014606,0.1696170055936098,0.4330292370246105,-0.6462954470574296
-0.3336272354963688,-0.1739369931014606,0.1788574488033699,0.4742618051467172,-0.6378401440422177
-0.3338820817488461,-0.1739369931014606,0.1794936224292893,0.4766387025885039,-0.6387301759385559
-0.3337546586226074,-0.1739369931014606,0.1802159585474936,0.4521599601845471,-0.6387301759385559
-0.3337546586226074,-0.1739369931014606,0.1982223116143998,0.4617995998095711,-0.6387301759385559
-0.3337546586226074,-0.1739369931014606,0.2221628929032885,0.5095356234321223,-0.6387301759385559
-0.3337546586226074,-0.1739369931014606,0.2416275295393149,0.5475989949651798,-0.6387301759385559
-0.3336272354963688,-0.1739369931014606,0.2743553926382615,0.5332055604565821,-0.6387301759385559
-0.1566365131509009,-0.1064425400091924,-0.6106689915594142,-0.4708685463759828,-0.3258839643757171
-0.157273628782094,-0.0952413329002628,-0.600074284019378,-0.4601725078879423,-0.2724820505954318
-0.1342100429329006,-0.0645098159603791,-0.5876410956326217,-0.4518203543772193,-0.1879290204433132
-0.1563816668984236,-0.056467923677045,-0.5697020908777929,-0.4477598212475003,-0.1434274256264086
-0.1642819007252191,-0.063935395082998,-0.5400427951085036,-0.4364035334700746,-0.1434274256264086
-0.1659384013663214,-0.0642226055216886,-0.5005289939931323,-0.4078642579363987,-0.1879290204433132
-0.1774064827277988,-0.0705412351728796,-0.4624779057458137,-0.3863071186379714,-0.1879290204433132
-0.1961376822848786,-0.0725517082437131,-0.4154716350294224,-0.3534267040265877,-0.2324306152602177
-0.172436980804492,-0.0828912840365712,-0.3283166368773043,-0.2936411308727565,-0.2502312531869795
