,Interpersonal Violence,Drug Use Disorders,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
2508,-0.32292369289232326,-0.17221373046931757,-0.6210578006036792,-0.40462903641841114,1.8146427463173895
2509,-0.3220317310086528,-0.17192652003062708,-0.6212738824650568,-0.39746533162858155,1.7701411515004852
2510,-0.3217768847561755,-0.17192652003062708,-0.6290258196136279,-0.4076991956140524,1.859144341134294
2511,-0.3210123459987437,-0.17163930959193657,-0.6333460201473619,-0.4223402236061695,1.3696267981483445
2512,-0.32024780724131185,-0.17163930959193657,-0.6353316692688629,-0.44780933994420413,1.058115634430013
2513,-0.31922842223140274,-0.17135209915324606,-0.6321807365187598,-0.44591112323722165,0.791106065528586
2514,-0.31897357597892545,-0.17135209915324606,-0.6338902467419477,-0.4484365767691201,0.7021028758947769
2515,-0.32942227233049376,-0.1727881513466986,0.5675705693492551,0.3467676673664323,-0.5483919384602397
2516,-0.33082392671911875,-0.1727881513466986,0.4574800113175218,0.3381184016754859,-0.5572922574236205
2517,-0.33133361922407334,-0.1727881513466986,0.461598813448903,0.36718587664067004,-0.570642735868692
2518,-0.331461042350312,-0.17250094090800808,0.49421319903332417,0.39483381563367587,-0.5839932143137633
2519,-0.332862696738937,-0.17221373046931757,0.6682360852382909,0.4759784532991187,-0.5884433737954538
2520,-0.33349981237013016,-0.17192652003062708,0.7818588186644665,0.514322430780165,-0.6062440117222155
2521,-0.3338820817488461,-0.17163930959193657,0.9792973276221449,0.5895908497700796,-0.610694171203906
2522,-0.3336272354963688,-0.17135209915324606,1.2921607061780513,0.7399131067308582,-0.5884433737954538
2523,-0.3332449661176529,-0.17135209915324606,1.38317492655489,0.8492668952852843,-0.5928935332771442
2524,-0.33400950487508474,-0.17135209915324606,1.3458423501537504,0.9368984822189369,-0.6062440117222155
2525,-0.3336272354963688,-0.17106488871455555,1.768749955276348,1.093063945390775,-0.6017938522405252
2526,-0.3341369280013234,-0.17077767827586507,2.112728209152425,1.2485031343442892,-0.610694171203906
2527,-0.3350288898849938,-0.17049046783717456,2.2107736736230845,1.341284665735146,-0.6195944901672868
2528,-0.3350288898849938,-0.17049046783717456,2.273831372520094,1.509103528864633,-0.6329449686123583
2529,-0.3350288898849938,-0.17020325739848405,2.285653730137967,1.5103414962822304,-0.6240446496489773
2530,-0.3350288898849938,-0.16991604695979357,2.166736140376339,1.5203442730164163,-0.640065223783063
2531,-0.3346466205062779,-0.16991604695979357,2.2118939061977096,1.6610764090488748,-0.640065223783063
2532,-0.33451919738003927,-0.16991604695979357,2.3754818469555743,1.7504411503671635,-0.6485205267982748
2533,-0.33477404363251656,-0.16991604695979357,2.675110061476898,1.7102319686436043,-0.6511906224872891
